,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
2583,2583,0.011043399537058018,0.0,0,264.0,987.0,0.0,3749.0,1,0.28831891148424715
2584,2584,-0.8858647481796187,-0.9,1,317.0,567.0,1.0,146.0,1,0.7530553081184457
2585,2585,0.06030464468430585,0.1,0,381.0,730.0,0.0,3529.0,1,0.5562731774423768
2586,2586,0.23753468941696254,0.2,0,395.0,607.0,0.0,1338.0,1,0.5098051184795254
2587,2587,0.08870172154507894,0.1,0,424.0,692.0,0.0,324.0,1,0.8127578203064556
2588,2588,0.22177084766556843,0.2,0,316.0,736.0,0.0,418.0,1,0.9811204088239394
2589,2589,0.11244463814608952,0.1,0,312.0,635.0,0.0,1143.0,1,0.32539513536431747
2590,2590,-0.039157809116759035,-0.0,1,369.0,672.0,1.0,2729.0,1,0.5973970021640138
2591,2591,0.3756793734005621,0.4,0,370.0,774.0,0.0,806.0,1,0.8818736835322714
2592,2592,-0.02283185157297707,-0.0,1,326.0,620.0,1.0,2104.0,1,0.49887350773846817
2593,2593,0.6981939666217978,0.7,0,279.0,555.0,0.0,526.0,1,0.9891226807403848
2594,2594,0.9155150884193899,0.9,0,284.0,898.0,0.0,498.0,1,0.8615731454663329
2595,2595,-0.7996743496871992,-0.8,1,381.0,755.0,1.0,684.0,1,0.972166278888027
2596,2596,-0.08624448099890736,-0.1,1,348.0,993.0,1.0,1829.0,1,0.6582681971500594
2597,2597,-0.7395640898644624,-0.7,1,372.0,679.0,1.0,879.0,1,0.1561795800508537
2598,2598,-0.8232445333314866,-0.8,1,292.0,774.0,1.0,384.0,1,0.6836150304248964
2599,2599,0.6804052274968249,0.7,0,322.0,531.0,0.0,497.0,1,0.8626515689592481
2600,2600,0.23742580294333782,0.2,0,346.0,780.0,0.0,1824.0,1,0.2584184173391541
2601,2601,0.1953197696928355,0.2,0,343.0,795.0,0.0,1002.0,1,0.14999905705158478
2602,2602,-0.6526720609037102,-0.7,1,335.0,715.0,1.0,730.0,1,0.6962408865777736
