,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
1732,1732,0.7968986550320762,0.8,0,455.0,746.0,0.0,399.0,1,0.33565290649860224,0.0
1733,1733,0.16202668606736959,0.2,0,321.0,641.0,0.0,498.0,1,0.9903135760058273,0.0
1734,1734,-0.05197264961398007,-0.1,1,476.0,504.0,1.0,670.0,1,0.0022372643525793157,0.0
1735,1735,-0.6167932166786836,-0.6,1,403.0,927.0,1.0,280.0,1,0.33172574220017426,0.0
1736,1736,0.6904678618085367,0.7,0,418.0,637.0,0.0,395.0,1,0.5070247868507897,0.0
1737,1737,0.3175866085395862,0.3,0,445.0,823.0,0.0,362.0,1,0.007815015643010681,0.0
1738,1738,-0.5028010185917797,-0.5,1,385.0,555.0,1.0,360.0,1,0.6717322356447688,0.0
1739,1739,0.5485721392459235,0.5,0,431.0,614.0,0.0,375.0,1,0.6752636531849187,0.0
1740,1740,-0.7423760450598762,-0.7,1,271.0,708.0,1.0,261.0,1,0.569836594630464,0.0
1741,1741,0.08998714965910048,0.1,0,304.0,837.0,0.0,379.0,1,0.03062116209698107,0.0
1742,1742,0.3408833631321233,0.3,0,251.0,637.0,0.0,172.0,1,0.8762241001477048,0.0
1743,1743,-0.4370091963437053,-0.4,1,439.0,898.0,1.0,333.0,1,0.3862621775323357,0.0
1744,1744,0.48858772246969795,0.5,0,347.0,736.0,0.0,417.0,1,0.9103047874755147,0.0
1745,1745,-0.46791134984333493,-0.5,1,285.0,885.0,1.0,640.0,1,0.21170202686436246,0.0
1746,1746,0.5728519744279628,0.6,0,468.0,547.0,0.0,215.0,1,0.6648896550253112,0.0
1747,1747,-0.1464874601864754,-0.1,1,470.0,890.0,1.0,410.0,1,0.0034362660555055102,0.0
1748,1748,-0.8015448007589883,-0.8,1,368.0,939.0,1.0,213.0,1,0.6233621816136369,0.0
1749,1749,-0.6991271497147962,-0.7,1,465.0,739.0,1.0,386.0,1,0.4747915693737975,0.0
1750,1750,0.4716160264900233,0.5,0,488.0,955.0,0.0,267.0,1,0.8154540106730414,0.0
1751,1751,0.013935424224710058,0.0,0,285.0,941.0,0.0,754.0,1,0.9747215294909367,0.0
1752,1752,-0.5430491421878898,-0.5,1,282.0,575.0,1.0,663.0,1,0.018646926025148503,0.0
1753,1753,0.39120607015652853,0.4,0,476.0,949.0,0.0,175.0,1,0.9971109842562365,0.0
1754,1754,0.714738289173082,0.7,0,458.0,604.0,0.0,248.0,1,0.6088928764663917,0.0
1755,1755,-0.7016538345273142,-0.7,1,274.0,907.0,1.0,319.0,1,0.3622878748332079,0.0
1756,1756,0.21905139458135636,0.2,0,475.0,607.0,0.0,698.0,1,0.5391904998448609,0.0
1757,1757,-0.4870088294546304,-0.5,1,260.0,501.0,1.0,229.0,1,0.4874148912412136,0.0
1758,1758,0.5527914447463607,0.6,0,368.0,737.0,0.0,315.0,1,0.5994947558844013,0.0
1759,1759,-0.5748797964167727,-0.6,1,260.0,737.0,1.0,353.0,1,0.16511923682898433,0.0
1760,1760,0.7319440982410066,0.7,0,482.0,513.0,0.0,195.0,1,0.6965451809671636,0.0
1761,1761,-0.3957900116121733,-0.4,1,275.0,711.0,1.0,704.0,1,0.3884273911759767,0.0
1762,1762,-0.6729210374272485,-0.7,1,394.0,718.0,1.0,308.0,1,0.45477316286710934,0.0
1763,1763,-0.07680635398594049,-0.1,1,419.0,972.0,0.0,1829.0,0,0.07086095863381425,0.0
1764,1764,0.2661424561351875,0.3,0,368.0,947.0,0.0,165.0,1,0.9215783601852543,0.0
1765,1765,0.857808393451134,0.9,0,471.0,702.0,0.0,307.0,1,0.27020878310849816,0.0
1766,1766,0.6143887028689974,0.6,0,324.0,749.0,0.0,367.0,1,0.07498816642554806,0.0
1767,1767,0.45774841117181264,0.5,0,432.0,723.0,0.0,235.0,1,0.6693951818001141,0.0
1768,1768,-0.2710958883947421,-0.3,1,395.0,647.0,0.0,388.0,0,0.601822854887092,0.0
1769,1769,-0.3860269914365724,-0.4,1,253.0,970.0,1.0,467.0,1,0.46179297849660295,0.0
1770,1770,-0.038480281354858814,-0.0,1,381.0,911.0,0.0,748.0,0,0.951055197365205,0.0
1771,1771,-0.594862078519911,-0.6,1,262.0,846.0,1.0,592.0,1,0.22792711958296186,0.0
1772,1772,0.001916469044273672,0.0,0,318.0,986.0,0.0,416.0,1,0.4904053243376367,0.0
1773,1773,0.27456283316180174,0.3,0,375.0,635.0,0.0,270.0,1,0.29504549576616956,0.0
1774,1774,0.5960946580660256,0.6,0,255.0,596.0,0.0,219.0,1,0.6226433318712165,0.0
1775,1775,0.8135352933788897,0.8,0,317.0,703.0,0.0,280.0,1,0.49865432100464824,0.0
1776,1776,-0.14675489180943613,-0.1,1,349.0,508.0,1.0,1113.0,1,0.23287733582100756,0.0
1777,1777,0.6862059035031123,0.7,0,388.0,585.0,0.0,287.0,1,0.5210489295520778,0.0
1778,1778,-0.12010100664728762,-0.1,1,373.0,915.0,1.0,332.0,1,0.6075030256731693,0.0
1779,1779,-0.20016133081410992,-0.2,1,253.0,631.0,1.0,1826.0,1,0.7540502572149554,0.0
1780,1780,-0.6983116883288649,-0.7,1,298.0,553.0,1.0,359.0,1,0.6523915779467536,0.0
1781,1781,-0.25226575266503803,-0.3,1,292.0,945.0,1.0,663.0,1,0.3723118514236031,0.0
1782,1782,0.6611677362710522,0.7,0,445.0,735.0,0.0,250.0,1,0.44874211389277985,0.0
