,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,configuration,chosen_color
4000,4000,-0.39250057384919,-0.4,1.0,477.0,821.0,1.0,-278.0,1,-1.0,-1.0
4001,4001,0.13482870265351343,0.1,-1.0,348.0,995.0,0.0,3657.0,0,-1.0,0.0
4002,4002,0.18047414207542,0.2,1.0,334.0,632.0,1.0,1314.0,1,1.0,1.0
4003,4003,0.15719220048485305,0.2,-1.0,461.0,719.0,1.0,-300.0,0,-1.0,-1.0
4004,4004,-0.37685088403817846,-0.4,-1.0,316.0,985.0,0.0,3699.0,0,1.0,0.0
4005,4005,0.18499627822281062,0.2,1.0,353.0,558.0,1.0,1059.0,1,1.0,1.0
4006,4006,-0.8153869112429989,-0.8,-1.0,380.0,753.0,0.0,3867.0,0,1.0,0.0
4007,4007,0.13364936841245523,0.1,-1.0,289.0,558.0,0.0,4153.0,0,-1.0,0.0
4008,4008,0.03768639002774998,0.0,1.0,320.0,722.0,1.0,1198.0,1,1.0,1.0
4009,4009,-0.2861647570268251,-0.3,-1.0,413.0,843.0,0.0,3744.0,0,1.0,0.0
4010,4010,0.7834566789752692,0.8,1.0,296.0,546.0,1.0,278.0,1,1.0,1.0
4011,4011,-0.16620680392658538,-0.2,-1.0,463.0,527.0,0.0,4010.0,0,1.0,0.0
4012,4012,0.5853674162453307,0.6,-1.0,381.0,529.0,0.0,4090.0,0,-1.0,0.0
4013,4013,0.7295552723072075,0.7,1.0,488.0,818.0,1.0,154.0,1,1.0,1.0
4014,4014,-0.17116577215680695,-0.2,1.0,462.0,742.0,1.0,1096.0,1,-1.0,-1.0
4015,4015,-0.2074463475071654,-0.2,-1.0,253.0,678.0,0.0,4069.0,0,1.0,0.0
4016,4016,-0.3565427871098418,-0.4,1.0,312.0,802.0,1.0,366.0,1,-1.0,-1.0
4017,4017,-0.01837799358321357,-0.0,1.0,288.0,781.0,1.0,-539.0,1,-1.0,-1.0
4018,4018,-0.4790819765406898,-0.5,-1.0,311.0,661.0,0.0,4028.0,0,1.0,0.0
4019,4019,0.1934551398848755,0.2,-1.0,447.0,522.0,0.0,4031.0,0,-1.0,0.0
4020,4020,0.5858925587987843,0.6,1.0,435.0,571.0,1.0,154.0,1,1.0,1.0
4021,4021,0.8896621995316804,0.9,1.0,349.0,886.0,1.0,95.0,1,1.0,1.0
4022,4022,0.5538560776545219,0.6,1.0,266.0,771.0,1.0,173.0,1,1.0,1.0
4023,4023,0.0968381798241259,0.1,-1.0,341.0,728.0,0.0,3931.0,0,-1.0,0.0
4024,4024,-0.12332525413087436,-0.1,1.0,329.0,698.0,1.0,-517.0,1,-1.0,-1.0
4025,4025,0.7719239897946494,0.8,1.0,314.0,664.0,1.0,182.0,1,1.0,1.0
4026,4026,-0.8077803290543359,-0.8,1.0,345.0,843.0,1.0,232.0,1,-1.0,-1.0
4027,4027,0.49786170925690965,0.5,1.0,444.0,996.0,1.0,420.0,1,1.0,1.0
4028,4028,-0.2817407867077629,-0.3,-1.0,367.0,541.0,0.0,4092.0,0,1.0,0.0
4029,4029,0.5067326094139492,0.5,1.0,311.0,684.0,1.0,105.0,1,1.0,1.0
4030,4030,-0.8500172158135997,-0.9,-1.0,438.0,768.0,0.0,3794.0,0,1.0,0.0
4031,4031,0.8765458738253799,0.9,-1.0,426.0,764.0,0.0,3810.0,0,-1.0,0.0
4032,4032,0.4310709848663635,0.4,1.0,471.0,641.0,1.0,308.0,1,1.0,1.0
4033,4033,0.37171015436394417,0.4,1.0,419.0,912.0,1.0,429.0,1,1.0,1.0
4034,4034,-0.7492347859493466,-0.7,-1.0,422.0,595.0,0.0,3983.0,0,1.0,0.0
4035,4035,-0.5847094221024165,-0.6,1.0,487.0,891.0,1.0,282.0,1,-1.0,-1.0
4036,4036,-0.30937889806011853,-0.3,-1.0,371.0,737.0,0.0,3892.0,0,1.0,0.0
4037,4037,0.6242745739161576,0.6,1.0,436.0,932.0,1.0,132.0,1,1.0,1.0
4038,4038,-0.44002129878509527,-0.4,-1.0,412.0,916.0,0.0,3672.0,0,1.0,0.0
4039,4039,0.5734366455714629,0.6,1.0,340.0,960.0,1.0,180.0,1,1.0,1.0
4040,4040,-0.7620208873041279,-0.8,-1.0,449.0,574.0,0.0,3977.0,0,1.0,0.0
4041,4041,-0.0038369263899961092,-0.0,1.0,440.0,903.0,1.0,-493.0,1,-1.0,-1.0
4042,4042,-0.20821273643343818,-0.2,-1.0,334.0,797.0,0.0,3869.0,0,1.0,0.0
4043,4043,0.8059925549434469,0.8,1.0,452.0,895.0,1.0,163.0,1,1.0,1.0
4044,4044,-0.44124556660060504,-0.4,1.0,275.0,825.0,1.0,470.0,1,-1.0,-1.0
4045,4045,0.4089615058658841,0.4,1.0,440.0,585.0,1.0,295.0,1,1.0,1.0
4046,4046,-0.7853539444015489,-0.8,-1.0,451.0,942.0,0.0,3607.0,0,1.0,0.0
4047,4047,0.8785372959552818,0.9,1.0,250.0,987.0,1.0,163.0,1,1.0,1.0
4048,4048,0.8019935716564927,0.8,1.0,304.0,696.0,1.0,190.0,1,1.0,1.0
4049,4049,0.8327660255124069,0.8,-1.0,271.0,792.0,0.0,3937.0,0,-1.0,0.0
4050,4050,0.8381227560246752,0.8,-1.0,402.0,619.0,1.0,39.0,0,-1.0,-1.0
4051,4051,0.8131935970635108,0.8,-1.0,402.0,789.0,0.0,3809.0,0,-1.0,0.0
4052,4052,0.5215951957546384,0.5,-1.0,303.0,712.0,0.0,3985.0,0,-1.0,0.0
4053,4053,-0.2748578257000238,-0.3,1.0,293.0,890.0,1.0,257.0,1,-1.0,-1.0
4054,4054,-0.08526194068116222,-0.1,1.0,316.0,762.0,1.0,-528.0,1,-1.0,-1.0
4055,4055,0.10870029619963917,0.1,-1.0,345.0,975.0,0.0,3680.0,0,-1.0,0.0
4056,4056,-0.096715535942829,-0.1,1.0,365.0,684.0,1.0,251.0,1,-1.0,-1.0
4057,4057,-0.0680285904780884,-0.1,-1.0,375.0,707.0,0.0,3918.0,0,1.0,0.0
4058,4058,0.6969595485674315,0.7,1.0,462.0,643.0,1.0,125.0,1,1.0,1.0
4059,4059,-0.6000138881518051,-0.6,-1.0,250.0,772.0,0.0,3978.0,0,1.0,0.0
4060,4060,-0.4686635155763072,-0.5,-1.0,353.0,848.0,0.0,3799.0,0,1.0,0.0
4061,4061,-0.7922764411589289,-0.8,-1.0,360.0,676.0,0.0,3964.0,0,1.0,0.0
4062,4062,-0.4516328005102302,-0.5,1.0,470.0,877.0,1.0,-417.0,1,-1.0,-1.0
4063,4063,0.06732074698030255,0.1,-1.0,460.0,735.0,0.0,3805.0,0,-1.0,0.0
4064,4064,0.637031443046593,0.6,1.0,280.0,932.0,1.0,318.0,1,1.0,1.0
4065,4065,0.6272010570453556,0.6,1.0,290.0,530.0,1.0,220.0,1,1.0,1.0
4066,4066,0.13945158874906272,0.1,-1.0,452.0,957.0,0.0,3591.0,0,-1.0,0.0
4067,4067,0.88979068870344,0.9,1.0,453.0,977.0,1.0,160.0,1,1.0,1.0
4068,4068,0.19675358368500662,0.2,-1.0,493.0,740.0,1.0,-433.0,0,-1.0,-1.0
4069,4069,0.6402247246651817,0.6,1.0,358.0,578.0,1.0,134.0,1,1.0,1.0
4070,4070,0.4728521994878726,0.5,-1.0,359.0,739.0,0.0,3902.0,0,-1.0,0.0
4071,4071,0.5550050549145072,0.6,-1.0,490.0,646.0,0.0,3864.0,0,-1.0,0.0
4072,4072,0.622792227921109,0.6,-1.0,484.0,740.0,1.0,-594.0,0,-1.0,-1.0
4073,4073,0.12846576570067458,0.1,1.0,328.0,905.0,1.0,2687.0,1,1.0,1.0
4074,4074,-0.23935047852507807,-0.2,1.0,370.0,739.0,1.0,431.0,1,-1.0,-1.0
4075,4075,0.331400758398955,0.3,-1.0,418.0,715.0,1.0,-413.0,0,-1.0,-1.0
4076,4076,-0.6323931335813682,-0.6,1.0,379.0,850.0,1.0,-569.0,1,-1.0,-1.0
4077,4077,0.8480205147109986,0.8,-1.0,437.0,679.0,1.0,-366.0,0,-1.0,-1.0
4078,4078,0.4580892117467893,0.5,-1.0,367.0,842.0,1.0,21.0,0,-1.0,-1.0
4079,4079,0.46371046781345304,0.5,1.0,386.0,535.0,1.0,219.0,1,1.0,1.0
4080,4080,-0.07937124050967015,-0.1,-1.0,325.0,565.0,0.0,4110.0,0,1.0,0.0
4081,4081,-0.7336306548851159,-0.7,1.0,353.0,746.0,1.0,-149.0,1,-1.0,-1.0
4082,4082,0.4301892231211072,0.4,-1.0,364.0,538.0,0.0,4098.0,0,-1.0,0.0
4083,4083,0.6506006662114204,0.7,-1.0,389.0,675.0,0.0,3936.0,0,-1.0,0.0
4084,4084,-0.06221830190594402,-0.1,-1.0,483.0,523.0,0.0,3994.0,0,1.0,0.0
4085,4085,-0.7668462647941907,-0.8,-1.0,459.0,853.0,0.0,3688.0,0,1.0,0.0
