,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3160,3160,0.15404112152002036,0.2,0,356.0,624.0,0.0,530.0,1,0.2528345582146646,0.0
3161,3161,-0.5489770702612236,-0.5,1,394.0,897.0,0.0,-1281.0,0,0.2564735064664362,0.0
3162,3162,-0.5208231653987359,-0.5,1,464.0,518.0,0.0,-982.0,0,0.8567983465218647,0.0
3163,3163,-0.25345878768141517,-0.3,1,382.0,539.0,0.0,-901.0,0,0.9635624641963331,0.0
3164,3164,0.8364407744478126,0.8,0,333.0,854.0,0.0,-1187.0,1,0.9619937630010681,0.0
3165,3165,0.9277823057768395,0.9,0,495.0,890.0,0.0,-1385.0,1,0.8627680005283331,0.0
3166,3166,0.6224337138671374,0.6,0,499.0,855.0,0.0,566.0,1,0.057735812268063014,0.0
3167,3167,-0.3851374754889032,-0.4,1,488.0,769.0,1.0,243.0,1,0.8340204513465526,0.0
3168,3168,0.21913986181792056,0.2,0,485.0,685.0,0.0,-1170.0,1,0.918895791636293,0.0
3169,3169,0.7098732499746032,0.7,0,496.0,677.0,0.0,137.0,1,0.7397618872626681,0.0
3170,3170,-0.037159747766075224,-0.0,1,271.0,954.0,0.0,-1225.0,0,0.8926875619375126,0.0
3171,3171,0.017453568252225438,0.0,0,271.0,635.0,0.0,234.0,1,0.5593937670649834,0.0
3172,3172,-0.25547020601695203,-0.3,1,258.0,858.0,0.0,-1116.0,0,0.9023652852786244,0.0
3173,3173,0.04309276729336187,0.0,0,264.0,663.0,0.0,-927.0,1,0.8737169995279547,0.0
3174,3174,-0.2793002031765699,-0.3,1,458.0,910.0,0.0,-1368.0,0,0.9477587971144034,0.0
3175,3175,0.4758056482840336,0.5,0,401.0,544.0,0.0,215.0,1,0.3267609943596329,0.0
3176,3176,0.5697146743391976,0.6,0,334.0,520.0,0.0,-854.0,1,0.9581933292373084,0.0
3177,3177,-0.7443347983972484,-0.7,1,271.0,708.0,0.0,-979.0,0,0.8643371260963866,0.0
3178,3178,0.3045588207070895,0.3,0,453.0,591.0,0.0,-1014.0,1,0.5202338907481457,0.0
