,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.21824326165993657,-0.2,0.0,1.0,473.0,739.0,1.0,0,538.0,1
1,1,0.16451059889740371,0.2,1.0,1.0,445.0,725.0,1.0,1,200.0,1
2,2,-0.6009846546407871,-0.6,0.0,1.0,476.0,893.0,1.0,0,161.0,1
3,3,-0.42675915276832105,-0.4,0.0,1.0,302.0,794.0,1.0,0,114.0,1
4,4,-0.34995275666087955,-0.3,1.0,0.0,319.0,825.0,0.0,0,1856.0,1
5,5,-0.7346651606776498,-0.7,1.0,0.0,375.0,992.0,0.0,0,323.0,1
6,6,0.7789339071949265,0.8,1.0,1.0,463.0,567.0,1.0,1,140.0,1
7,7,-0.7491198585822892,-0.7,1.0,0.0,253.0,589.0,0.0,0,258.0,1
8,8,0.03873261038151532,0.0,0.0,0.0,335.0,508.0,1.0,0,2157.0,0
9,9,0.07008945821792578,0.1,0.0,0.0,498.0,718.0,0.0,1,1784.0,1
10,10,-0.14780257236406735,-0.1,1.0,0.0,390.0,809.0,1.0,1,1801.0,0
11,11,0.1789885335416862,0.2,1.0,1.0,264.0,917.0,1.0,1,809.0,1
12,12,0.6985801861229614,0.7,0.0,0.0,259.0,923.0,0.0,1,408.0,1
13,13,-0.18353457278234608,-0.2,0.0,1.0,493.0,686.0,1.0,0,541.0,1
14,14,0.030694073916989417,0.0,0.0,0.0,404.0,601.0,1.0,0,1995.0,0
15,15,-0.3432423632661532,-0.3,0.0,1.0,398.0,523.0,1.0,0,459.0,1
16,16,0.5270368623679601,0.5,0.0,0.0,298.0,690.0,0.0,1,912.0,1
17,17,-0.42988677424347704,-0.4,1.0,0.0,258.0,836.0,0.0,0,1426.0,1
18,18,0.7048161911003114,0.7,0.0,0.0,346.0,751.0,0.0,1,113.0,1
19,19,-0.5873576266827087,-0.6,1.0,0.0,411.0,923.0,0.0,0,1386.0,1
20,20,0.1379641308981,0.1,0.0,0.0,472.0,613.0,0.0,1,1915.0,1
21,21,0.7612644271185672,0.8,0.0,0.0,354.0,891.0,0.0,1,135.0,1
22,22,-0.5586498250615965,-0.6,1.0,0.0,261.0,815.0,0.0,0,284.0,1
23,23,0.083683392995066,0.1,1.0,1.0,492.0,948.0,1.0,1,810.0,1
24,24,-0.5214584784820699,-0.5,0.0,1.0,404.0,776.0,1.0,0,320.0,1
25,25,0.711882547476182,0.7,1.0,1.0,363.0,580.0,1.0,1,337.0,1
26,26,-0.6207816027911417,-0.6,0.0,1.0,450.0,801.0,1.0,0,189.0,1
27,27,-0.6824246328554682,-0.7,0.0,1.0,473.0,631.0,1.0,0,466.0,1
28,28,0.09907244043319785,0.1,0.0,0.0,497.0,792.0,1.0,0,1711.0,0
29,29,0.5850174440617691,0.6,0.0,0.0,260.0,900.0,0.0,1,230.0,1
30,30,0.8897299314164141,0.9,1.0,1.0,292.0,605.0,1.0,1,223.0,1
31,31,-0.182453345756597,-0.2,0.0,1.0,413.0,788.0,1.0,0,1799.0,1
32,32,0.8554045661744346,0.9,0.0,0.0,277.0,764.0,0.0,1,239.0,1
33,33,-0.4240679003022477,-0.4,0.0,1.0,270.0,743.0,1.0,0,257.0,1
34,34,0.19269844849977813,0.2,1.0,1.0,271.0,717.0,1.0,1,552.0,1
35,35,0.15424578647877774,0.2,1.0,1.0,305.0,989.0,1.0,1,286.0,1
36,36,-0.53724450672384,-0.5,1.0,0.0,271.0,515.0,1.0,1,-26.0,0
37,37,-0.5624089441616824,-0.6,1.0,0.0,307.0,843.0,0.0,0,970.0,1
38,38,0.5707799356558604,0.6,0.0,0.0,253.0,907.0,0.0,1,610.0,1
39,39,0.8694615753541654,0.9,0.0,0.0,341.0,865.0,0.0,1,194.0,1
40,40,-0.831304710123556,-0.8,1.0,0.0,446.0,517.0,0.0,0,367.0,1
41,41,0.6099049029665556,0.6,1.0,1.0,401.0,899.0,1.0,1,310.0,1
42,42,0.39754384186629677,0.4,0.0,0.0,301.0,955.0,0.0,1,1744.0,1
43,43,0.4617436932152271,0.5,0.0,0.0,482.0,902.0,0.0,1,196.0,1
44,44,0.14669753718389378,0.1,1.0,1.0,322.0,705.0,1.0,1,553.0,1
45,45,0.8784203001472705,0.9,0.0,0.0,467.0,696.0,0.0,1,137.0,1
46,46,0.4264730962510018,0.4,1.0,1.0,388.0,557.0,1.0,1,185.0,1
47,47,0.15479336348643946,0.2,1.0,1.0,286.0,887.0,1.0,1,787.0,1
48,48,-0.004542948713022299,-0.0,0.0,1.0,277.0,948.0,0.0,1,1775.0,0
49,49,0.5836862979755725,0.6,0.0,0.0,478.0,944.0,0.0,1,368.0,1
50,50,0.8257044759062956,0.8,0.0,0.0,378.0,577.0,0.0,1,505.0,1
51,51,-0.1900932617431904,-0.2,0.0,1.0,477.0,560.0,1.0,0,1163.0,1
52,52,0.5681640466513921,0.6,1.0,1.0,303.0,880.0,1.0,1,157.0,1
