,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
146,146,-0.06625099039320936,-0.1,1,341.0,995.0,0.0,214.0,0,0.030121820982154046,0.030121820982154046
147,147,0.2302632022650748,0.2,0,377.0,931.0,0.0,272.0,1,0.2783727406774946,0.2783727406774946
148,148,0.8642415446346787,0.9,0,312.0,770.0,0.0,248.0,1,0.033541362443546996,0.033541362443546996
149,149,0.08326348925636662,0.1,0,339.0,803.0,0.0,178.0,1,0.245499698488843,0.245499698488843
150,150,-0.6790245349037878,-0.7,1,424.0,557.0,1.0,799.0,1,0.2616640019083103,0.2616640019083103
151,151,-0.2922163981297021,-0.3,1,429.0,525.0,0.0,176.0,0,0.421722689289576,0.421722689289576
152,152,-0.7219378628387134,-0.7,1,431.0,514.0,1.0,155.0,1,0.028229922136401797,0.028229922136401797
153,153,0.36403070187585396,0.4,0,380.0,982.0,0.0,138.0,1,0.48040037282497633,0.48040037282497633
154,154,-0.31225051100463896,-0.3,1,401.0,668.0,1.0,121.0,1,0.19634144058299952,0.19634144058299952
155,155,-0.6530532094911059,-0.7,1,258.0,568.0,0.0,364.0,0,0.16331260989167395,0.16331260989167395
156,156,-0.4368181812455034,-0.4,1,421.0,602.0,1.0,287.0,1,0.37870783465667696,0.37870783465667696
157,157,-0.12353969126005415,-0.1,1,495.0,777.0,1.0,208.0,1,0.39842075167532,0.39842075167532
158,158,0.40995174934464984,0.4,0,263.0,892.0,0.0,455.0,1,0.49309547895995687,0.49309547895995687
159,159,0.12839624850973363,0.1,0,492.0,606.0,1.0,882.0,0,0.14050868751098694,0.14050868751098694
160,160,-0.7962295105563861,-0.8,1,327.0,522.0,1.0,151.0,1,0.45739592081054165,0.45739592081054165
161,161,-0.7448116388608599,-0.7,1,497.0,508.0,1.0,115.0,1,0.4536243826087235,0.4536243826087235
162,162,0.7935136884157772,0.8,0,438.0,987.0,0.0,125.0,1,0.4070440145104618,0.4070440145104618
163,163,-0.4948291067318853,-0.5,1,285.0,542.0,1.0,183.0,1,0.13706880762854678,0.13706880762854678
164,164,-0.9860102448148356,-1.0,1,430.0,972.0,1.0,188.0,1,0.36907995922821896,0.36907995922821896
165,165,-0.3457350539521975,-0.3,1,415.0,804.0,1.0,601.0,1,0.04879964537688691,0.04879964537688691
166,166,0.6804124941086356,0.7,0,426.0,759.0,1.0,105.0,0,0.1975232563573952,0.1975232563573952
167,167,-0.08973344911607328,-0.1,1,283.0,952.0,1.0,385.0,1,0.416393724479521,0.416393724479521
168,168,0.5214460732215229,0.5,0,336.0,943.0,0.0,121.0,1,0.09029224391093316,0.09029224391093316
169,169,0.17851826828888573,0.2,0,357.0,772.0,1.0,871.0,0,0.0566287521295189,0.0566287521295189
170,170,-0.2427462718803055,-0.2,1,266.0,974.0,0.0,140.0,0,0.29849244940417685,0.29849244940417685
171,171,-0.2568741662521665,-0.3,1,278.0,701.0,1.0,1071.0,1,0.2265728329124015,0.2265728329124015
172,172,0.9505141766602216,1.0,0,398.0,964.0,0.0,88.0,1,0.3204188831594481,0.3204188831594481
173,173,-0.810933357395567,-0.8,1,456.0,869.0,1.0,275.0,1,0.13930876146500593,0.13930876146500593
174,174,-0.03260724491241218,-0.0,1,347.0,567.0,1.0,276.0,1,0.49797606441828035,0.49797606441828035
175,175,0.2835668904106714,0.3,0,322.0,769.0,0.0,979.0,1,0.2914002321043653,0.2914002321043653
176,176,-0.7359451326367819,-0.7,1,394.0,817.0,1.0,329.0,1,0.12529921291385143,0.12529921291385143
177,177,0.6282647281625551,0.6,0,398.0,908.0,1.0,164.0,0,0.21486902916830936,0.21486902916830936
178,178,-0.0440351850661469,-0.0,1,454.0,809.0,1.0,197.0,1,0.35420634580761046,0.35420634580761046
179,179,-0.41693634958228687,-0.4,1,497.0,970.0,1.0,93.0,1,0.38372764578335994,0.38372764578335994
180,180,-0.38284483934118607,-0.4,1,405.0,846.0,0.0,209.0,0,0.13522452171594812,0.13522452171594812
181,181,-0.2198117301466982,-0.2,1,457.0,749.0,1.0,184.0,1,0.4328719072892252,0.4328719072892252
182,182,0.7486998672350325,0.7,0,377.0,805.0,0.0,158.0,1,0.1610329210344616,0.1610329210344616
183,183,-0.3118698656136407,-0.3,1,275.0,674.0,1.0,61.0,1,0.09508227656094548,0.09508227656094548
184,184,-0.05018315747198798,-0.1,1,386.0,800.0,1.0,64.0,1,0.3842548250054799,0.3842548250054799
185,185,0.4882792909270659,0.5,0,287.0,545.0,0.0,318.0,1,0.49874314185190916,0.49874314185190916
186,186,-0.15010930069523942,-0.2,1,467.0,674.0,1.0,309.0,1,0.37598104679774125,0.37598104679774125
187,187,0.19682725373709564,0.2,0,394.0,863.0,1.0,123.0,0,0.4158408505418127,0.4158408505418127
188,188,-0.1098045577334632,-0.1,1,441.0,944.0,1.0,605.0,1,0.17093281466063287,0.17093281466063287
189,189,0.70478020916691,0.7,0,341.0,799.0,0.0,150.0,1,0.25428324619739734,0.25428324619739734
190,190,0.9951881752338823,1.0,0,494.0,794.0,0.0,292.0,1,0.24525000937276836,0.24525000937276836
191,191,-0.17685037550746419,-0.2,1,262.0,940.0,1.0,238.0,1,0.342581722778911,0.342581722778911
192,192,-0.4870741426852596,-0.5,1,310.0,977.0,1.0,173.0,1,0.2737168014391979,0.2737168014391979
193,193,0.6880749407612108,0.7,0,283.0,619.0,0.0,408.0,1,0.010334665786458974,0.010334665786458974
194,194,-0.19180264450609186,-0.2,1,364.0,705.0,1.0,81.0,1,0.05004863723971875,0.05004863723971875
195,195,-0.5510381228991907,-0.6,1,297.0,615.0,1.0,298.0,1,0.16349662274294435,0.16349662274294435
196,196,0.7553854577877674,0.8,0,352.0,892.0,0.0,176.0,1,0.192294162228681,0.192294162228681
197,197,0.9361486133533232,0.9,0,445.0,884.0,0.0,311.0,1,0.4382410666610242,0.4382410666610242
198,198,0.8630257530527734,0.9,0,296.0,643.0,0.0,221.0,1,0.18674683262184527,0.18674683262184527
199,199,-0.8837228952670331,-0.9,1,464.0,805.0,1.0,261.0,1,0.35877167878524796,0.35877167878524796
200,200,-0.12794607113542744,-0.1,1,420.0,974.0,1.0,296.0,1,0.12848731117466639,0.12848731117466639
201,201,-0.25166048822098985,-0.3,1,339.0,794.0,1.0,647.0,1,0.11916725574596138,0.11916725574596138
202,202,0.695376784874645,0.7,0,291.0,650.0,0.0,239.0,1,0.20304421516842314,0.20304421516842314
203,203,-0.3327633451635654,-0.3,1,372.0,772.0,1.0,376.0,1,0.2213540731900549,0.2213540731900549
204,204,-0.7948697519162313,-0.8,1,250.0,631.0,1.0,209.0,1,0.055284749671777045,0.055284749671777045
205,205,0.7082058955292945,0.7,0,349.0,873.0,0.0,288.0,1,0.16079482333795203,0.16079482333795203
206,206,0.2605322291122991,0.3,0,416.0,666.0,0.0,568.0,1,0.2215971582544468,0.2215971582544468
207,207,-0.9835444117817396,-1.0,1,287.0,898.0,1.0,405.0,1,0.15731456670057792,0.15731456670057792
208,208,-0.46806353712652005,-0.5,1,337.0,632.0,1.0,201.0,1,0.48532023194755874,0.48532023194755874
209,209,0.31565938162051443,0.3,0,259.0,642.0,0.0,1719.0,1,0.4598966815737047,0.4598966815737047
210,210,0.11125821705754979,0.1,0,448.0,878.0,1.0,174.0,0,0.44193632048963494,0.44193632048963494
211,211,0.6455097106083281,0.6,0,375.0,669.0,0.0,186.0,1,0.3743897419482217,0.3743897419482217
212,212,-0.29062184793635515,-0.3,1,283.0,636.0,1.0,171.0,1,0.353413496375665,0.353413496375665
213,213,0.5090787823411906,0.5,0,404.0,527.0,0.0,1449.0,1,0.2648239316637447,0.2648239316637447
214,214,0.1817799910673381,0.2,0,444.0,977.0,0.0,799.0,1,0.35548215520265286,0.35548215520265286
215,215,-0.13098976366258497,-0.1,1,253.0,678.0,1.0,929.0,1,0.14666366252458707,0.14666366252458707
216,216,-0.5898434537989077,-0.6,1,302.0,993.0,1.0,55.0,1,0.24870632260007058,0.24870632260007058
217,217,0.38195205747888794,0.4,0,450.0,897.0,0.0,183.0,1,0.12303059870611577,0.12303059870611577
218,218,0.5615480090693494,0.6,0,436.0,540.0,0.0,214.0,1,0.2726083292852316,0.2726083292852316
219,219,-0.3354186897106941,-0.3,1,375.0,935.0,0.0,630.0,0,0.05168701782506768,0.05168701782506768
220,220,-0.39250155018275734,-0.4,1,255.0,534.0,1.0,141.0,1,0.29908854024278414,0.29908854024278414
221,221,0.8982376360570243,0.9,0,426.0,806.0,0.0,238.0,1,0.3858759632682449,0.3858759632682449
222,222,-0.04381286485504976,-0.0,1,483.0,539.0,1.0,98.0,1,0.08133553267872945,0.08133553267872945
223,223,-0.9014451681283762,-0.9,1,489.0,542.0,1.0,119.0,1,0.2560059485446593,0.2560059485446593
224,224,-0.14335554278787743,-0.1,1,332.0,803.0,1.0,355.0,1,0.07404489189724972,0.07404489189724972
225,225,-0.09075981798166954,-0.1,1,486.0,990.0,1.0,114.0,1,0.2521173337112258,0.2521173337112258
226,226,-0.053330650211734554,-0.1,1,370.0,777.0,0.0,593.0,0,0.23003887915467197,0.23003887915467197
227,227,0.20009031029254776,0.2,0,280.0,757.0,1.0,703.0,0,0.16738932386134237,0.16738932386134237
228,228,0.2351801269936633,0.2,0,401.0,603.0,0.0,736.0,1,0.2877665295490803,0.2877665295490803
229,229,-0.4530515857569728,-0.5,1,476.0,945.0,1.0,109.0,1,0.4467323857103018,0.4467323857103018
230,230,0.7406091757880173,0.7,0,426.0,769.0,0.0,495.0,1,0.3153437041787279,0.3153437041787279
231,231,-0.7692831848872503,-0.8,1,348.0,832.0,1.0,330.0,1,0.24290601856201943,0.24290601856201943
232,232,0.7616020909173955,0.8,0,369.0,765.0,0.0,136.0,1,0.15426825830631197,0.15426825830631197
233,233,0.4128806439392354,0.4,0,499.0,762.0,0.0,529.0,1,0.4423652574548916,0.4423652574548916
234,234,-0.09886396886527105,-0.1,1,412.0,732.0,0.0,176.0,0,0.27883829047487957,0.27883829047487957
235,235,0.7499587224197182,0.7,0,409.0,606.0,0.0,455.0,1,0.18417532811480464,0.18417532811480464
236,236,0.5970654006187692,0.6,0,395.0,956.0,0.0,269.0,1,0.2761332987960641,0.2761332987960641
237,237,0.8889659778496342,0.9,0,302.0,766.0,0.0,212.0,1,0.14033539895674318,0.14033539895674318
238,238,0.8062748982866843,0.8,0,439.0,828.0,0.0,83.0,1,0.44447030291700257,0.44447030291700257
239,239,-0.1467167453953786,-0.1,1,373.0,688.0,1.0,169.0,1,0.3264386594920815,0.3264386594920815
240,240,-0.6243598120743477,-0.6,1,299.0,913.0,1.0,368.0,1,0.30033659502409477,0.30033659502409477
241,241,0.8280704540645432,0.8,0,312.0,783.0,0.0,585.0,1,0.32978561426562847,0.32978561426562847
242,242,0.8321971409584226,0.8,0,473.0,664.0,0.0,103.0,1,0.30964809339094523,0.30964809339094523
243,243,0.9279067938119039,0.9,0,326.0,504.0,0.0,220.0,1,0.014357729734704394,0.014357729734704394
244,244,0.39866268217254386,0.4,0,321.0,724.0,1.0,145.0,0,0.05297068755870621,0.05297068755870621
