,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1725,1725,0.27682688018878854,0.3,0,308.0,570.0,0.0,362.0,1
1726,1726,0.3080479778979359,0.3,0,392.0,618.0,0.0,620.0,1
1727,1727,-0.7632141503943937,-0.8,1,293.0,565.0,1.0,262.0,1
1728,1728,0.11118012037298142,0.1,0,464.0,854.0,0.0,232.0,1
1729,1729,-0.26063377648273467,-0.3,1,261.0,648.0,1.0,351.0,1
1730,1730,0.9683534298622436,1.0,0,403.0,801.0,0.0,246.0,1
1731,1731,-0.23951755989586454,-0.2,1,450.0,957.0,1.0,1083.0,1
1732,1732,0.36573261805636514,0.4,0,357.0,537.0,0.0,576.0,1
1733,1733,-0.19911735629798155,-0.2,1,326.0,969.0,0.0,635.0,0
1734,1734,0.5097130282035109,0.5,0,392.0,815.0,0.0,503.0,1
1735,1735,0.008442272514604499,0.0,0,260.0,625.0,1.0,1545.0,0
1736,1736,-0.04722069346332014,-0.0,1,336.0,636.0,0.0,2158.0,0
1737,1737,-0.24847933205424644,-0.2,1,463.0,628.0,1.0,639.0,1
1738,1738,-0.5152739428990247,-0.5,1,339.0,818.0,1.0,943.0,1
1739,1739,-0.6251426933046995,-0.6,1,405.0,536.0,1.0,919.0,1
1740,1740,-0.20315407741525604,-0.2,1,477.0,504.0,1.0,259.0,1
1741,1741,0.3554375686611462,0.4,0,497.0,581.0,0.0,372.0,1
1742,1742,0.7147376144493183,0.7,0,465.0,507.0,0.0,368.0,1
1743,1743,-0.3674947954386696,-0.4,1,320.0,948.0,1.0,642.0,1
1744,1744,0.8383952066015152,0.8,0,439.0,597.0,0.0,424.0,1
1745,1745,0.22443455210791896,0.2,0,346.0,520.0,0.0,284.0,1
1746,1746,0.4440621163449878,0.4,0,282.0,519.0,0.0,309.0,1
1747,1747,-0.003829146831176411,-0.0,1,479.0,887.0,0.0,614.0,0
1748,1748,-0.3738293303374509,-0.4,1,376.0,526.0,1.0,488.0,1
1749,1749,0.6606626249947238,0.7,0,341.0,937.0,0.0,372.0,1
