,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
6262,6262,0.3887237443067868,0.4,0,480.0,734.0,0.0,366.0,1,0.5176685212317023,0.0
6263,6263,0.15472716462061475,0.2,0,351.0,741.0,0.0,298.0,1,0.4805866050498745,0.0
6264,6264,-0.31444067257740915,-0.3,1,386.0,922.0,1.0,232.0,1,0.28230453777459585,0.0
6265,6265,0.8319959597523368,0.8,0,255.0,936.0,0.0,209.0,1,0.9386784993044889,0.0
6266,6266,-0.7940111511634351,-0.8,1,387.0,768.0,1.0,195.0,1,0.6591373382564641,0.0
6267,6267,-0.7720954366487884,-0.8,1,400.0,941.0,1.0,229.0,1,0.7899083962948967,0.0
6268,6268,0.9820098444317047,1.0,0,433.0,520.0,0.0,177.0,1,0.993717174704135,0.0
6269,6269,0.5946318263304085,0.6,0,407.0,572.0,0.0,201.0,1,0.7028181327520631,0.0
6270,6270,-0.45433938613629876,-0.5,1,284.0,880.0,1.0,356.0,1,0.2784263751247845,0.0
6271,6271,0.9848778079120029,1.0,0,371.0,797.0,0.0,232.0,1,0.9088563115377363,0.0
6272,6272,0.4525141179797916,0.5,0,442.0,565.0,0.0,233.0,1,0.9179674472755636,0.0
6273,6273,0.2077827321148713,0.2,0,458.0,699.0,0.0,343.0,1,0.2507716979272675,0.0
6274,6274,-0.47789104755219625,-0.5,1,375.0,628.0,1.0,317.0,1,0.44146864971727473,0.0
6275,6275,0.16887616709575792,0.2,0,454.0,523.0,0.0,963.0,1,0.14614088899775263,0.0
6276,6276,-0.587687234123381,-0.6,1,257.0,806.0,1.0,257.0,1,0.6348096040506794,0.0
6277,6277,-0.35714984694528473,-0.4,1,293.0,925.0,1.0,142.0,1,0.9748863857445444,0.0
6278,6278,0.8996540716112684,0.9,0,263.0,908.0,0.0,229.0,1,0.39530528505473184,0.0
6279,6279,-0.12379195857178904,-0.1,1,278.0,982.0,1.0,420.0,1,0.7475741330050706,0.0
6280,6280,0.18284847715196917,0.2,0,306.0,995.0,0.0,359.0,1,0.9297217754406819,0.0
6281,6281,0.42261973925801843,0.4,0,372.0,760.0,0.0,308.0,1,0.3822486263667677,0.0
6282,6282,0.5316118787091857,0.5,0,285.0,972.0,0.0,263.0,1,0.5692034745697916,0.0
6283,6283,-0.7394316608029627,-0.7,1,447.0,889.0,1.0,284.0,1,0.8362756580285141,0.0
6284,6284,-0.34525184986160284,-0.3,1,386.0,711.0,1.0,213.0,1,0.5501548131003454,0.0
6285,6285,0.035251549134945215,0.0,0,468.0,956.0,0.0,2626.0,1,0.14752974533211005,0.0
6286,6286,0.11146963746007565,0.1,0,437.0,911.0,1.0,242.0,0,0.7644061136156396,0.0
6287,6287,-0.4266864110403368,-0.4,1,327.0,667.0,1.0,186.0,1,0.4907045778215813,0.0
6288,6288,-0.9442870522499489,-0.9,1,363.0,630.0,1.0,157.0,1,0.43731594058800916,0.0
6289,6289,0.06301140234398805,0.1,0,348.0,828.0,0.0,2804.0,1,0.16407010435405497,0.0
6290,6290,-0.9395533235921367,-0.9,1,450.0,663.0,1.0,257.0,1,0.5013829692063262,0.0
6291,6291,-0.20642820084436697,-0.2,1,304.0,848.0,1.0,248.0,1,0.4631083663509227,0.0
6292,6292,0.3348158865008555,0.3,0,463.0,691.0,0.0,426.0,1,0.3107933928998532,0.0
6293,6293,-0.9275982991898637,-0.9,1,264.0,568.0,1.0,298.0,1,0.2898442797441644,0.0
6294,6294,-0.7648435367620097,-0.8,1,430.0,744.0,1.0,186.0,1,0.5240216620400661,0.0
6295,6295,0.9548291621841625,1.0,0,403.0,597.0,0.0,280.0,1,0.31073526329565326,0.0
6296,6296,-0.5659374698279642,-0.6,1,292.0,575.0,1.0,513.0,1,0.11534656113616455,0.0
6297,6297,0.5150648846049486,0.5,0,350.0,866.0,0.0,274.0,1,0.9514490658595112,0.0
6298,6298,0.557376690371401,0.6,0,285.0,579.0,0.0,276.0,1,0.5212797537960641,0.0
6299,6299,0.17644618751857677,0.2,0,382.0,834.0,0.0,254.0,1,0.6968216700402693,0.0
6300,6300,-0.10041898153286555,-0.1,1,376.0,655.0,1.0,469.0,1,0.4654791790114846,0.0
6301,6301,0.29977251134731353,0.3,0,486.0,970.0,0.0,344.0,1,0.4055051150969564,0.0
6302,6302,0.76807070042081,0.8,0,282.0,597.0,0.0,391.0,1,0.33169461994233757,0.0
6303,6303,0.8740081663791068,0.9,0,360.0,950.0,0.0,160.0,1,0.7547499329264514,0.0
6304,6304,-0.5209211356373424,-0.5,1,379.0,809.0,1.0,282.0,1,0.8145430347608605,0.0
6305,6305,-0.2852242387090014,-0.3,1,394.0,950.0,1.0,436.0,1,0.2751504024949001,0.0
6306,6306,-0.47096424199175235,-0.5,1,415.0,507.0,1.0,838.0,1,0.1381141315720063,0.0
6307,6307,0.7943329348905104,0.8,0,369.0,851.0,0.0,290.0,1,0.5448357766483728,0.0
6308,6308,-0.04360295535333214,-0.0,1,397.0,510.0,1.0,543.0,1,0.3397617825708452,0.0
6309,6309,-0.6398451139235606,-0.6,1,365.0,733.0,1.0,232.0,1,0.9118928046243822,0.0
6310,6310,0.5429862311995244,0.5,0,466.0,685.0,0.0,519.0,1,0.1544946721315838,0.0
6311,6311,-0.4186095139200374,-0.4,1,482.0,697.0,1.0,251.0,1,0.37335646066483996,0.0
6312,6312,-0.6967473035779348,-0.7,1,337.0,739.0,1.0,274.0,1,0.4517086635389359,0.0
6313,6313,-0.8154304809691164,-0.8,1,421.0,764.0,1.0,275.0,1,0.9374972280916258,0.0
6314,6314,0.971667876784674,1.0,0,328.0,884.0,0.0,358.0,1,0.3751207663017967,0.0
6315,6315,0.48831067317997534,0.5,0,497.0,679.0,0.0,274.0,1,0.3782365643119182,0.0
6316,6316,0.17967218936098117,0.2,0,328.0,646.0,0.0,336.0,1,0.8210204304182832,0.0
6317,6317,0.5200231869848522,0.5,0,428.0,874.0,0.0,348.0,1,0.8374427839277008,0.0
6318,6318,-0.41092800193372914,-0.4,1,414.0,767.0,1.0,209.0,1,0.4251850923859116,0.0
6319,6319,0.507811359562709,0.5,0,354.0,770.0,0.0,186.0,1,0.6846313187606284,0.0
6320,6320,-0.7019665637804846,-0.7,1,379.0,794.0,1.0,167.0,1,0.7732571753492389,0.0
6321,6321,0.8192828569900727,0.8,0,370.0,926.0,0.0,224.0,1,0.4317023974161436,0.0
6322,6322,-0.5901225044783738,-0.6,1,301.0,501.0,1.0,208.0,1,0.7761824961458318,0.0
6323,6323,-0.5829238860238368,-0.6,1,325.0,944.0,1.0,181.0,1,0.9634953167969654,0.0
6324,6324,0.9031681746486737,0.9,0,362.0,757.0,0.0,171.0,1,0.7060709794298391,0.0
6325,6325,0.7925538694143233,0.8,0,387.0,620.0,0.0,333.0,1,0.6680944500331243,0.0
6326,6326,0.9944537009814116,1.0,0,323.0,574.0,0.0,193.0,1,0.6407616427995155,0.0
6327,6327,0.49597672481722377,0.5,0,459.0,814.0,0.0,257.0,1,0.5984073349766936,0.0
6328,6328,0.8542377629096731,0.9,0,399.0,504.0,0.0,247.0,1,0.5362599209786519,0.0
6329,6329,-0.12690758912837974,-0.1,1,251.0,998.0,1.0,241.0,1,0.979881734630997,0.0
6330,6330,0.20094970020425595,0.2,0,359.0,741.0,0.0,410.0,1,0.2638826085100229,0.0
6331,6331,-0.4746934695351015,-0.5,1,321.0,838.0,1.0,151.0,1,0.9227265704759438,0.0
6332,6332,0.7563362413500241,0.8,0,423.0,923.0,0.0,324.0,1,0.1966960326455995,0.0
6333,6333,-0.932028142230473,-0.9,1,490.0,642.0,1.0,98.0,1,0.8448440987691582,0.0
6334,6334,-0.13669148517112228,-0.1,1,435.0,966.0,1.0,289.0,1,0.4142903960412767,0.0
6335,6335,0.5257252639285424,0.5,0,341.0,837.0,0.0,372.0,1,0.272233880763435,0.0
6336,6336,0.87897598665802,0.9,0,320.0,824.0,0.0,286.0,1,0.4207161270652203,0.0
6337,6337,-0.5214510976429207,-0.5,1,322.0,948.0,1.0,170.0,1,0.730295140381886,0.0
6338,6338,-0.6153351042245787,-0.6,1,300.0,629.0,1.0,201.0,1,0.9652907498309682,0.0
6339,6339,-0.9358452540924378,-0.9,1,467.0,501.0,1.0,352.0,1,0.17857823454117877,0.0
6340,6340,-0.42426315736162445,-0.4,1,275.0,841.0,1.0,274.0,1,0.9982448872026204,0.0
6341,6341,0.6921329264508327,0.7,0,371.0,609.0,0.0,410.0,1,0.33839543495774477,0.0
6342,6342,0.34269210938285455,0.3,0,434.0,618.0,0.0,278.0,1,0.9358758862016678,0.0
6343,6343,-0.25895579722867734,-0.3,1,309.0,844.0,1.0,197.0,1,0.9469392221371346,0.0
6344,6344,-0.46329955609748175,-0.5,1,440.0,886.0,1.0,254.0,1,0.8799022539413877,0.0
6345,6345,0.5740753305994544,0.6,0,357.0,890.0,0.0,213.0,1,0.7893043989282102,0.0
6346,6346,-0.29932112395239274,-0.3,1,368.0,999.0,1.0,193.0,1,0.8703488602969117,0.0
6347,6347,-0.7741071143024865,-0.8,1,340.0,655.0,1.0,205.0,1,0.507548329219853,0.0
6348,6348,0.0641145725578034,0.1,0,333.0,846.0,0.0,2321.0,1,0.10870712883392682,0.0
6349,6349,-0.9009886514701897,-0.9,1,402.0,982.0,1.0,216.0,1,0.790919521548748,0.0
6350,6350,0.3453655778497906,0.3,0,466.0,838.0,0.0,326.0,1,0.627920077346688,0.0
6351,6351,-0.4939160314544986,-0.5,1,381.0,612.0,1.0,197.0,1,0.9215296462245944,0.0
6352,6352,0.6834285389692047,0.7,0,256.0,530.0,0.0,154.0,1,0.9954188929310318,0.0
6353,6353,-0.13103648341563345,-0.1,1,282.0,844.0,1.0,2794.0,1,0.131483764691686,0.0
6354,6354,0.13748904513537918,0.1,0,252.0,889.0,0.0,739.0,1,0.21975065102006391,0.0
6355,6355,-0.26211937273868013,-0.3,1,481.0,622.0,1.0,357.0,1,0.3028168412022919,0.0
6356,6356,-0.9209553497224885,-0.9,1,260.0,962.0,1.0,208.0,1,0.8033162391746487,0.0
6357,6357,0.9068171138410741,0.9,0,418.0,534.0,0.0,198.0,1,0.7740966144152454,0.0
6358,6358,-0.49768917679950153,-0.5,1,337.0,597.0,1.0,236.0,1,0.7627097788232408,0.0
6359,6359,-0.6266871007134303,-0.6,1,437.0,769.0,1.0,254.0,1,0.49789220532798883,0.0
6360,6360,-0.06540100360143719,-0.1,1,459.0,796.0,0.0,3745.0,0,0.1692219322761796,0.0
6361,6361,0.6657577232852987,0.7,0,347.0,774.0,0.0,329.0,1,0.3495455396122431,0.0
6362,6362,0.8422256368652894,0.8,0,292.0,998.0,0.0,350.0,1,0.8770029639019883,0.0
6363,6363,0.7192725293923907,0.7,0,440.0,539.0,0.0,241.0,1,0.31992138911060586,0.0
6364,6364,0.45172797492098615,0.5,0,451.0,770.0,0.0,189.0,1,0.8458543073219073,0.0
6365,6365,0.8988762686672784,0.9,0,420.0,780.0,0.0,190.0,1,0.9403965954448095,0.0
6366,6366,-0.7779733959895632,-0.8,1,472.0,676.0,1.0,182.0,1,0.8588961211711372,0.0
6367,6367,0.004649191266731245,0.0,0,446.0,644.0,0.0,290.0,1,0.6644480501962313,0.0
6368,6368,0.9958077425789049,1.0,0,260.0,853.0,0.0,437.0,1,0.3120947159321288,0.0
6369,6369,-0.6856152959994499,-0.7,1,325.0,892.0,1.0,-997.0,1,0.6492759308998763,0.0
6370,6370,0.5326622387513775,0.5,0,278.0,559.0,0.0,253.0,1,0.5750436924985417,0.0
6371,6371,-0.25740333543508953,-0.3,1,303.0,942.0,1.0,425.0,1,0.32267287536039835,0.0
6372,6372,-0.160038600207699,-0.2,1,282.0,631.0,0.0,297.0,0,0.6053823700232857,0.0
6373,6373,0.2966675773572718,0.3,0,364.0,537.0,0.0,199.0,1,0.4925552011022065,0.0
