,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1382,1382,-0.7176104815001931,-0.7,1,388.0,676.0,1.0,186.0,1
1383,1383,0.6391709828078267,0.6,0,330.0,519.0,0.0,691.0,1
1384,1384,0.48664581241077154,0.5,0,347.0,786.0,0.0,1247.0,1
1385,1385,-0.7499050264092297,-0.7,1,334.0,918.0,1.0,128.0,1
1386,1386,0.5703958093028016,0.6,0,322.0,613.0,0.0,565.0,1
1387,1387,0.2661567819516548,0.3,0,304.0,798.0,1.0,508.0,0
1388,1388,0.8109026320002322,0.8,0,490.0,705.0,0.0,445.0,1
1389,1389,0.9527921767202654,1.0,0,473.0,905.0,0.0,112.0,1
1390,1390,-0.7058157343898614,-0.7,1,251.0,549.0,1.0,340.0,1
1391,1391,0.8531925164963685,0.9,0,388.0,904.0,0.0,378.0,1
1392,1392,0.0883130149092346,0.1,0,255.0,759.0,1.0,356.0,0
1393,1393,-0.5114371603745402,-0.5,1,311.0,927.0,1.0,432.0,1
1394,1394,0.4156735009338719,0.4,0,299.0,920.0,1.0,291.0,0
1395,1395,0.8262829522244428,0.8,0,301.0,955.0,0.0,264.0,1
1396,1396,0.89588332834031,0.9,0,476.0,688.0,0.0,826.0,1
1397,1397,-0.5164349442021063,-0.5,1,450.0,823.0,1.0,497.0,1
1398,1398,0.9470863254895787,0.9,0,431.0,749.0,0.0,220.0,1
1399,1399,0.5725278688238702,0.6,0,259.0,547.0,0.0,584.0,1
1400,1400,0.9336941531179317,0.9,0,353.0,687.0,0.0,1000.0,1
1401,1401,-0.4524852117599729,-0.5,1,330.0,619.0,1.0,721.0,1
1402,1402,-0.2105621425439299,-0.2,1,284.0,885.0,0.0,1051.0,0
1403,1403,-0.07645536219330529,-0.1,1,495.0,775.0,0.0,250.0,0
1404,1404,0.8339829384260571,0.8,0,294.0,574.0,0.0,242.0,1
1405,1405,0.37587266778206496,0.4,0,492.0,687.0,0.0,401.0,1
1406,1406,-0.29795732940545827,-0.3,1,346.0,875.0,1.0,769.0,1
1407,1407,0.524333024432877,0.5,0,299.0,859.0,0.0,342.0,1
1408,1408,-0.9833571579559841,-1.0,1,384.0,789.0,1.0,177.0,1
1409,1409,-0.8420028706765916,-0.8,1,301.0,577.0,1.0,282.0,1
1410,1410,-0.2790111794197776,-0.3,1,422.0,670.0,1.0,248.0,1
1411,1411,0.38180723659707083,0.4,0,263.0,742.0,0.0,345.0,1
1412,1412,-0.41061617693529895,-0.4,1,350.0,858.0,1.0,242.0,1
1413,1413,-0.024366154092833048,-0.0,1,468.0,970.0,1.0,202.0,1
1414,1414,0.5061596501029793,0.5,0,346.0,584.0,0.0,660.0,1
1415,1415,0.23689727546705597,0.2,0,484.0,795.0,1.0,781.0,0
1416,1416,0.6148102559154331,0.6,0,276.0,882.0,0.0,142.0,1
1417,1417,-0.5067136185453782,-0.5,1,315.0,990.0,1.0,1075.0,1
1418,1418,-0.6120583262967296,-0.6,1,267.0,706.0,1.0,267.0,1
1419,1419,0.11637345279666045,0.1,0,402.0,665.0,0.0,493.0,1
1420,1420,0.7889185591640757,0.8,0,304.0,779.0,0.0,247.0,1
1421,1421,0.17691202246455884,0.2,0,499.0,505.0,0.0,486.0,1
1422,1422,0.4069690067744618,0.4,0,447.0,990.0,1.0,303.0,0
1423,1423,0.5413046496770362,0.5,0,271.0,903.0,0.0,256.0,1
1424,1424,0.8862337112070438,0.9,0,330.0,887.0,0.0,673.0,1
1425,1425,0.30129024964793816,0.3,0,422.0,789.0,0.0,789.0,1
1426,1426,-0.8368580491257145,-0.8,1,277.0,703.0,1.0,170.0,1
1427,1427,0.2390432185349376,0.2,0,464.0,991.0,0.0,355.0,1
1428,1428,-0.7408885723482708,-0.7,1,289.0,698.0,1.0,193.0,1
1429,1429,-0.2150929812183724,-0.2,1,344.0,752.0,1.0,814.0,1
1430,1430,-0.729728718953994,-0.7,1,429.0,775.0,1.0,416.0,1
1431,1431,0.6293231015462795,0.6,0,280.0,966.0,0.0,224.0,1
1432,1432,0.25857049834640033,0.3,0,427.0,903.0,1.0,1340.0,0
1433,1433,0.730931233500812,0.7,0,379.0,717.0,1.0,94.0,0
1434,1434,-0.4775500552454439,-0.5,1,380.0,750.0,1.0,280.0,1
1435,1435,0.10075212905474329,0.1,0,391.0,649.0,1.0,140.0,0
1436,1436,-0.6297117610203129,-0.6,1,274.0,998.0,1.0,198.0,1
1437,1437,0.9788166726458558,1.0,0,493.0,877.0,0.0,250.0,1
1438,1438,-0.9094812991684553,-0.9,1,296.0,682.0,1.0,252.0,1
1439,1439,-0.02707469833055476,-0.0,1,495.0,978.0,0.0,1087.0,0
1440,1440,-0.5890530608756437,-0.6,1,431.0,917.0,0.0,412.0,0
1441,1441,-0.4732603583223418,-0.5,1,470.0,569.0,1.0,751.0,1
1442,1442,-0.4140442633294623,-0.4,1,407.0,736.0,1.0,577.0,1
1443,1443,0.4989498986371783,0.5,0,324.0,512.0,0.0,304.0,1
1444,1444,0.7338192926772202,0.7,0,449.0,930.0,0.0,321.0,1
1445,1445,0.8257655002047635,0.8,0,494.0,798.0,0.0,518.0,1
1446,1446,-0.31005558494764074,-0.3,1,385.0,775.0,1.0,500.0,1
