,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
2711,2711,0.4527291090257912,0.7,True,267.0,942.0,0.0,401.0,0
2712,2712,-0.9764196078670795,0.0,True,320.0,921.0,1.0,229.0,1
2713,2713,-0.3490166096137852,0.3,True,337.0,666.0,1.0,377.0,1
2714,2714,0.46444969746867804,0.7,True,371.0,994.0,0.0,525.0,0
2715,2715,0.25468885377396844,0.6,True,431.0,610.0,0.0,749.0,0
2716,2716,0.8888626849013919,0.9,True,466.0,997.0,0.0,247.0,0
2717,2717,0.6780265284036744,0.8,True,467.0,863.0,0.0,290.0,0
2718,2718,-0.5662932368865354,0.2,True,421.0,718.0,1.0,241.0,1
2719,2719,0.2623853563050442,0.6,True,300.0,930.0,0.0,460.0,0
2720,2720,0.6533049517409235,0.8,True,410.0,916.0,0.0,254.0,0
2721,2721,-0.43563453846125477,0.3,True,353.0,613.0,1.0,224.0,1
2722,2722,-0.7606732701949521,0.1,True,333.0,828.0,1.0,229.0,1
2723,2723,-0.19060152260336527,0.4,True,326.0,693.0,1.0,451.0,1
2724,2724,0.4711520907483735,0.7,True,274.0,800.0,0.0,266.0,0
2725,2725,-0.6059077873226721,0.2,True,259.0,597.0,1.0,274.0,1
2726,2726,0.868758495561422,0.9,True,415.0,782.0,0.0,253.0,0
2727,2727,-0.4647190031668389,0.3,True,400.0,839.0,1.0,221.0,1
2728,2728,0.8175811726065951,0.9,True,306.0,770.0,0.0,254.0,0
2729,2729,-0.011601010503242914,0.5,True,434.0,666.0,1.0,1980.0,1
2730,2730,-0.5654014238331246,0.2,True,290.0,867.0,1.0,233.0,1
2731,2731,0.40674118423449523,0.7,True,489.0,652.0,0.0,279.0,0
2732,2732,0.9607608658805333,1.0,True,433.0,929.0,0.0,248.0,0
2733,2733,0.28424499176423823,0.6,True,389.0,693.0,0.0,498.0,0
2734,2734,0.2033264992532018,0.6,True,411.0,562.0,0.0,787.0,0
2735,2735,-0.8710811143972401,0.1,True,358.0,602.0,1.0,330.0,1
2736,2736,-0.5161833967387053,0.2,True,335.0,524.0,1.0,241.0,1
2737,2737,-0.7953852933568892,0.1,True,409.0,660.0,1.0,231.0,1
2738,2738,-0.0017045591419821982,0.5,True,311.0,921.0,1.0,928.0,1
2739,2739,0.42348981451681644,0.7,True,412.0,882.0,0.0,536.0,0
2740,2740,0.4791673638151548,0.7,True,456.0,878.0,0.0,336.0,0
2741,2741,-0.19710069226833427,0.4,True,328.0,582.0,1.0,330.0,1
2742,2742,-0.5180821948965593,0.2,True,322.0,581.0,1.0,237.0,1
