,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
68,68,0.8242244080910728,0.8,0,481.0,784.0,0.0,205.0,1,26.36633878633908
69,69,0.11225419861566355,0.1,0,318.0,720.0,1.0,322.0,0,133.16187020765048
70,70,0.791537835029773,0.8,0,380.0,763.0,0.0,617.0,1,31.269324745534043
71,71,-0.12381008910616398,-0.1,1,438.0,500.0,1.0,392.0,1,168.5715133659246
72,72,-0.05791547281913467,-0.1,1,308.0,653.0,1.0,349.0,1,158.6873209228702
73,73,0.6948933747125088,0.7,0,340.0,529.0,0.0,221.0,1,45.765993793123684
74,74,0.8426823157415073,0.8,0,457.0,600.0,0.0,483.0,1,23.5976526387739
75,75,0.4496941946227415,0.4,0,355.0,551.0,0.0,1274.0,1,82.54587080658877
76,76,-0.9644944461555107,-1.0,1,413.0,555.0,1.0,402.0,1,294.6741669233266
77,77,0.4759123907348808,0.5,0,376.0,684.0,0.0,420.0,1,78.61314138976788
78,78,0.21897755073898462,0.2,0,430.0,673.0,1.0,697.0,0,117.15336738915231
79,79,0.8588091001771254,0.9,0,492.0,540.0,0.0,318.0,1,21.178634973431187
80,80,-0.17512625705340845,-0.2,1,470.0,711.0,1.0,509.0,1,176.26893855801126
81,81,-0.8408027759892818,-0.8,1,303.0,673.0,1.0,204.0,1,276.12041639839225
82,82,-0.5032165405668245,-0.5,1,348.0,820.0,1.0,442.0,1,225.48248108502366
83,83,0.23973373761451078,0.2,0,258.0,750.0,0.0,902.0,1,114.03993935782339
84,84,0.5959629604050922,0.6,0,460.0,576.0,0.0,954.0,1,60.60555593923617
85,85,-0.1255477625751782,-0.1,1,432.0,725.0,1.0,243.0,1,168.83216438627673
86,86,-0.42944015811334824,-0.4,1,472.0,852.0,1.0,246.0,1,214.41602371700225
87,87,0.8614412522310106,0.9,0,442.0,638.0,0.0,2270.0,1,20.783812165348404
88,88,-0.18298949800016917,-0.2,1,345.0,715.0,1.0,500.0,1,177.44842470002538
89,89,-0.9811811995446447,-1.0,1,476.0,732.0,1.0,302.0,1,297.1771799316967
90,90,0.5520660718020836,0.6,0,328.0,968.0,0.0,294.0,1,67.19008922968747
91,91,0.49697670121492776,0.5,0,253.0,663.0,0.0,794.0,1,75.45349481776084
92,92,0.4220214660867032,0.4,0,269.0,697.0,0.0,434.0,1,86.69678008699452
93,93,0.07379510855730231,0.1,0,367.0,848.0,1.0,235.0,0,138.93073371640466
94,94,0.4389896437130465,0.4,0,302.0,931.0,0.0,877.0,1,84.15155344304303
95,95,0.9260203870887125,0.9,0,333.0,518.0,0.0,1579.0,1,11.096941936693128
96,96,0.8047507360956685,0.8,0,388.0,529.0,0.0,1243.0,1,29.287389585649727
97,97,-0.9069003341094402,-0.9,1,381.0,537.0,1.0,392.0,1,286.035050116416
98,98,-0.05495063769240516,-0.1,1,252.0,533.0,0.0,215.0,0,158.24259565386077
99,99,0.43526785032711834,0.4,0,445.0,759.0,0.0,166.0,1,84.70982245093225
100,100,0.44808459207761553,0.4,0,489.0,996.0,0.0,2255.0,1,82.78731118835768
101,101,-0.9949993566274811,-1.0,1,470.0,547.0,1.0,303.0,1,299.2499034941222
102,102,0.7723346307205687,0.8,0,354.0,728.0,0.0,228.0,1,34.14980539191469
103,103,-0.30910575609035185,-0.3,1,325.0,860.0,1.0,275.0,1,196.36586341355277
104,104,-0.46795003065752994,-0.5,1,330.0,588.0,1.0,592.0,1,220.19250459862948
105,105,-0.45590708933022617,-0.5,1,414.0,687.0,1.0,1559.0,1,218.38606339953392
106,106,0.9295093425336356,0.9,0,290.0,657.0,0.0,403.0,1,10.57359861995466
107,107,-0.17352863991387268,-0.2,1,372.0,639.0,1.0,99.0,1,176.0292959870809
108,108,0.9043332665945474,0.9,0,441.0,536.0,0.0,963.0,1,14.350010010817893
109,109,-0.9664445024029431,-1.0,1,362.0,826.0,1.0,452.0,1,294.96667536044146
110,110,-0.22344571568437077,-0.2,1,499.0,686.0,1.0,545.0,1,183.51685735265562
111,111,-0.268810581798248,-0.3,1,414.0,740.0,1.0,206.0,1,190.3215872697372
112,112,0.9756200750192148,1.0,0,375.0,954.0,0.0,181.0,1,3.656988747117784
113,113,-0.5035792010931062,-0.5,1,391.0,630.0,1.0,249.0,1,225.53688016396592
114,114,0.22367826626180554,0.2,0,486.0,756.0,1.0,268.0,0,116.44826006072917
115,115,-0.17870414831402015,-0.2,1,387.0,903.0,1.0,580.0,1,176.80562224710303
116,116,-0.9032121576396859,-0.9,1,440.0,726.0,1.0,144.0,1,285.4818236459529
117,117,0.41590601257381454,0.4,0,287.0,530.0,0.0,383.0,1,87.61409811392782
118,118,0.2819347592222652,0.3,0,271.0,675.0,0.0,504.0,1,107.70978611666023
119,119,0.6070832180535097,0.6,0,462.0,741.0,0.0,1827.0,1,58.93751729197354
120,120,0.8313718316180385,0.8,0,339.0,864.0,0.0,157.0,1,25.294225257294222
121,121,0.8807781038363316,0.9,0,327.0,652.0,0.0,111.0,1,17.88328442455026
122,122,-0.23036756843197326,-0.2,1,457.0,972.0,1.0,331.0,1,184.55513526479598
123,123,0.7176720814348989,0.7,0,474.0,684.0,1.0,282.0,0,42.349187784765164
124,124,0.35735719413770095,0.4,0,446.0,943.0,0.0,281.0,1,96.39642087934486
125,125,-0.24824861097702344,-0.2,1,296.0,988.0,1.0,1666.0,1,187.23729164655353
126,126,-0.2954201555176976,-0.3,1,307.0,962.0,1.0,271.0,1,194.31302332765463
127,127,-0.277467053237328,-0.3,1,339.0,767.0,1.0,1334.0,1,191.6200579855992
128,128,0.7498713643611574,0.7,0,473.0,576.0,0.0,371.0,1,37.519295345826386
129,129,-0.8150380713880605,-0.8,1,447.0,574.0,1.0,259.0,1,272.25571070820905
