,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.27244160358352765,0.3,0.0,0.0,436.0,764.0,0.0,1,780.0,1
1,1,-0.5231698495594441,-0.5,1.0,0.0,404.0,703.0,0.0,0,733.0,1
2,2,-0.694346383042,-0.7,1.0,0.0,421.0,873.0,0.0,0,516.0,1
3,3,0.5844438526211712,0.6,0.0,0.0,384.0,680.0,0.0,1,286.0,1
4,4,0.47093082022996346,0.5,1.0,1.0,478.0,837.0,1.0,1,205.0,1
5,5,-0.010890543959987231,-0.0,0.0,1.0,296.0,633.0,1.0,0,-19.0,1
6,6,-0.07238576255432849,-0.1,0.0,1.0,382.0,704.0,1.0,0,284.0,1
7,7,0.6686825021562669,0.7,0.0,0.0,388.0,642.0,0.0,1,870.0,1
8,8,-0.45289547263410085,-0.5,1.0,0.0,395.0,641.0,0.0,0,694.0,1
9,9,-0.8691005929586522,-0.9,0.0,1.0,443.0,740.0,1.0,0,187.0,1
10,10,-0.5811800643295362,-0.6,1.0,0.0,430.0,510.0,0.0,0,330.0,1
11,11,-0.459885725722138,-0.5,0.0,1.0,455.0,881.0,1.0,0,274.0,1
12,12,0.8192581172323891,0.8,1.0,1.0,410.0,533.0,1.0,1,17.0,1
13,13,0.15314114044052707,0.2,1.0,1.0,303.0,595.0,1.0,1,412.0,1
14,14,-0.5511445316591435,-0.6,1.0,0.0,260.0,956.0,0.0,0,1014.0,1
15,15,0.757834257896362,0.8,1.0,1.0,346.0,983.0,1.0,1,381.0,1
16,16,0.09454499849429876,0.1,1.0,1.0,490.0,545.0,1.0,1,375.0,1
17,17,-0.6671658441846886,-0.7,0.0,1.0,339.0,792.0,1.0,0,179.0,1
18,18,-0.1593486448858783,-0.2,0.0,1.0,319.0,770.0,1.0,0,451.0,1
19,19,0.6114948086019868,0.6,0.0,0.0,413.0,789.0,0.0,1,278.0,1
20,20,0.6504950097641681,0.7,0.0,0.0,347.0,983.0,0.0,1,370.0,1
21,21,-0.5847133740083381,-0.6,1.0,0.0,416.0,702.0,0.0,0,192.0,1
22,22,-0.7411636601873178,-0.7,0.0,1.0,260.0,868.0,1.0,0,-8.0,1
23,23,0.28656310340371693,0.3,0.0,0.0,260.0,628.0,0.0,1,812.0,1
24,24,-0.27092777831027437,-0.3,1.0,0.0,485.0,870.0,0.0,0,1645.0,1
25,25,0.006071271405995504,0.0,0.0,0.0,396.0,794.0,1.0,0,1810.0,0
26,26,-0.7877762236192499,-0.8,0.0,1.0,338.0,579.0,1.0,0,-77.0,1
27,27,0.5112721584355747,0.5,1.0,1.0,351.0,982.0,1.0,1,297.0,1
28,28,0.20073889539840428,0.2,0.0,0.0,447.0,944.0,0.0,1,349.0,1
29,29,0.05148738835087718,0.1,0.0,0.0,398.0,989.0,1.0,0,-127.0,0
30,30,0.1282002305805766,0.1,0.0,0.0,424.0,749.0,0.0,1,517.0,1
31,31,0.4455396730426592,0.4,1.0,1.0,415.0,607.0,1.0,1,438.0,1
32,32,0.15469537775209374,0.2,1.0,1.0,281.0,519.0,1.0,1,340.0,1
33,33,-0.6016730478550065,-0.6,1.0,0.0,328.0,787.0,0.0,0,265.0,1
34,34,-0.023409385440530728,-0.0,1.0,0.0,446.0,850.0,1.0,1,1704.0,0
35,35,-0.1335892682382709,-0.1,1.0,0.0,407.0,685.0,1.0,1,318.0,0
36,36,0.5056295225847262,0.5,0.0,0.0,374.0,848.0,0.0,1,568.0,1
37,37,-0.6738891340768476,-0.7,1.0,0.0,283.0,971.0,0.0,0,216.0,1
38,38,0.2742779029547545,0.3,1.0,1.0,472.0,729.0,1.0,1,-141.0,1
39,39,0.7559648473707249,0.8,0.0,0.0,308.0,566.0,0.0,1,306.0,1
40,40,0.5361315655849809,0.5,0.0,0.0,289.0,891.0,0.0,1,310.0,1
41,41,0.5165135563206132,0.5,1.0,1.0,304.0,529.0,1.0,1,317.0,1
42,42,0.12262090663584047,0.1,0.0,0.0,279.0,990.0,0.0,1,1731.0,1
43,43,0.1491975966708471,0.1,0.0,0.0,492.0,561.0,0.0,1,1127.0,1
44,44,0.6655306152648995,0.7,1.0,1.0,483.0,521.0,1.0,1,146.0,1
45,45,-0.21789361770002869,-0.2,0.0,1.0,383.0,771.0,1.0,0,516.0,1
46,46,0.35745342640053235,0.4,1.0,1.0,305.0,670.0,1.0,1,225.0,1
47,47,-0.6748238681123513,-0.7,0.0,1.0,450.0,975.0,1.0,0,115.0,1
48,48,-0.2143073359340143,-0.2,0.0,1.0,269.0,861.0,1.0,0,800.0,1
49,49,-0.7615332658265019,-0.8,1.0,0.0,413.0,929.0,0.0,0,338.0,1
50,50,-0.003905407756785384,-0.0,0.0,1.0,315.0,770.0,1.0,0,945.0,1
51,51,0.7730515428287289,0.8,1.0,1.0,388.0,865.0,1.0,1,157.0,1
52,52,0.12120800976186186,0.1,1.0,1.0,414.0,758.0,1.0,1,538.0,1
53,53,-0.4329797252234137,-0.4,1.0,0.0,443.0,705.0,0.0,0,562.0,1
54,54,-0.7589102832111561,-0.8,0.0,1.0,261.0,730.0,1.0,0,279.0,1
55,55,-0.7535619999455359,-0.8,0.0,1.0,272.0,796.0,1.0,0,-298.0,1
56,56,0.6293229183543828,0.6,0.0,0.0,348.0,553.0,0.0,1,309.0,1
57,57,0.5462055032736116,0.5,1.0,1.0,420.0,775.0,1.0,1,135.0,1
58,58,0.14853797746099262,0.1,1.0,1.0,453.0,950.0,1.0,1,337.0,1
59,59,-0.41122649379302945,-0.4,1.0,0.0,290.0,820.0,0.0,0,620.0,1
60,60,0.14981303478045815,0.1,1.0,1.0,464.0,784.0,1.0,1,772.0,1
61,61,-0.4892415452934053,-0.5,1.0,0.0,381.0,825.0,0.0,0,1054.0,1
62,62,-0.08212335090714062,-0.1,1.0,0.0,391.0,866.0,1.0,1,533.0,0
63,63,-0.72503613035536,-0.7,0.0,1.0,411.0,903.0,1.0,0,286.0,1
64,64,0.11319860821675876,0.1,1.0,1.0,289.0,634.0,1.0,1,1017.0,1
65,65,-0.05103925198142911,-0.1,0.0,1.0,291.0,620.0,1.0,0,169.0,1
66,66,0.3047675877712629,0.3,0.0,0.0,387.0,879.0,0.0,1,274.0,1
67,67,-0.09601975018142928,-0.1,0.0,1.0,386.0,627.0,1.0,0,677.0,1
68,68,0.3365509225157023,0.3,1.0,1.0,462.0,946.0,1.0,1,262.0,1
69,69,0.6311354266751527,0.6,1.0,1.0,448.0,756.0,1.0,1,256.0,1
70,70,0.3142424139683747,0.3,0.0,0.0,428.0,748.0,0.0,1,624.0,1
71,71,-0.03173570661417269,-0.0,0.0,1.0,334.0,645.0,1.0,0,1521.0,1
72,72,-0.1476546269582536,-0.1,1.0,0.0,317.0,761.0,0.0,0,1922.0,1
73,73,-0.724256834737348,-0.7,0.0,1.0,403.0,930.0,1.0,0,-153.0,1
74,74,-0.6541521406590567,-0.7,1.0,0.0,302.0,826.0,0.0,0,502.0,1
75,75,0.14285085755644455,0.1,1.0,1.0,253.0,633.0,1.0,1,104.0,1
76,76,0.1399146237315797,0.1,1.0,1.0,489.0,678.0,1.0,1,483.0,1
77,77,-0.745178778892666,-0.7,1.0,0.0,426.0,635.0,0.0,0,299.0,1
78,78,-0.7118387374146666,-0.7,0.0,1.0,273.0,859.0,1.0,0,148.0,1
79,79,-0.4031607407222744,-0.4,1.0,0.0,325.0,837.0,0.0,0,1838.0,1
80,80,-0.6321299428438512,-0.6,1.0,0.0,474.0,629.0,0.0,0,577.0,1
81,81,-0.5781952894093423,-0.6,0.0,1.0,344.0,716.0,1.0,0,250.0,1
82,82,-0.7956895971852531,-0.8,1.0,0.0,391.0,588.0,0.0,0,421.0,1
83,83,0.8122441961528489,0.8,1.0,1.0,315.0,770.0,1.0,1,105.0,1
84,84,-0.4173630169918034,-0.4,0.0,1.0,483.0,790.0,1.0,0,207.0,1
85,85,0.4849237883452254,0.5,0.0,0.0,291.0,600.0,0.0,1,739.0,1
86,86,-0.27204228445533873,-0.3,0.0,1.0,335.0,544.0,1.0,0,521.0,1
87,87,-0.2046705238158658,-0.2,0.0,1.0,405.0,640.0,1.0,0,365.0,1
88,88,-0.20420111265004148,-0.2,0.0,1.0,270.0,933.0,1.0,0,107.0,1
89,89,-0.6806928767059939,-0.7,0.0,1.0,434.0,922.0,1.0,0,214.0,1
90,90,-0.6682636891590903,-0.7,1.0,0.0,362.0,672.0,0.0,0,246.0,1
91,91,0.6463136060872924,0.6,1.0,1.0,350.0,818.0,1.0,1,162.0,1
92,92,-0.6474231982573627,-0.6,1.0,0.0,295.0,926.0,0.0,0,609.0,1
93,93,-0.19046679598349692,-0.2,0.0,1.0,384.0,664.0,1.0,0,592.0,1
94,94,-0.4614730392689683,-0.5,0.0,1.0,483.0,807.0,1.0,0,390.0,1
95,95,0.5612495416447755,0.6,1.0,1.0,320.0,979.0,1.0,1,-49.0,1
96,96,-0.44134716453829126,-0.4,0.0,1.0,345.0,572.0,1.0,0,283.0,1
97,97,0.5796392835378893,0.6,1.0,1.0,374.0,692.0,1.0,1,144.0,1
98,98,-0.5107999880401299,-0.5,0.0,1.0,426.0,597.0,1.0,0,67.0,1
99,99,-0.6394003041957848,-0.6,1.0,0.0,290.0,538.0,0.0,0,462.0,1
100,100,-0.6775399023184984,-0.7,0.0,1.0,476.0,952.0,1.0,0,172.0,1
101,101,0.6609436839017001,0.7,0.0,0.0,484.0,628.0,0.0,1,318.0,1
102,102,0.45461428629804634,0.5,1.0,1.0,298.0,804.0,1.0,1,208.0,1
103,103,0.09775317212956491,0.1,1.0,1.0,424.0,710.0,1.0,1,776.0,1
104,104,-0.1999596525442061,-0.2,0.0,1.0,306.0,750.0,1.0,0,1684.0,1
105,105,0.8434518223288655,0.8,1.0,1.0,267.0,688.0,1.0,1,75.0,1
106,106,0.19209389312481873,0.2,0.0,0.0,326.0,554.0,0.0,1,1380.0,1
107,107,-0.2512174792656656,-0.3,1.0,0.0,477.0,669.0,0.0,0,1594.0,1
108,108,-0.7215097641632214,-0.7,0.0,1.0,274.0,562.0,1.0,0,364.0,1
109,109,0.16136594145315108,0.2,0.0,0.0,370.0,515.0,0.0,1,2115.0,1
110,110,0.33122331266315574,0.3,1.0,1.0,403.0,602.0,1.0,1,145.0,1
111,111,-0.3873631490820333,-0.4,0.0,1.0,302.0,603.0,1.0,0,905.0,1
112,112,-0.1754058362807599,-0.2,1.0,0.0,419.0,870.0,1.0,1,1711.0,0
113,113,0.45069405993852596,0.5,1.0,1.0,495.0,577.0,1.0,1,338.0,1
114,114,0.2633589506030033,0.3,1.0,1.0,340.0,641.0,1.0,1,279.0,1
115,115,0.5964141471981964,0.6,1.0,1.0,256.0,913.0,1.0,1,131.0,1
116,116,-0.7030282682318807,-0.7,0.0,1.0,293.0,633.0,1.0,0,114.0,1
117,117,0.20775143102432858,0.2,0.0,0.0,495.0,532.0,0.0,1,523.0,1
118,118,0.4053017498670227,0.4,0.0,0.0,305.0,901.0,0.0,1,444.0,1
119,119,-0.21317095732363223,-0.2,0.0,1.0,339.0,752.0,1.0,0,239.0,1
120,120,-0.8284638801001906,-0.8,0.0,1.0,432.0,934.0,1.0,0,-206.0,1
121,121,-0.474753914810271,-0.5,1.0,0.0,431.0,670.0,0.0,0,349.0,1
122,122,-0.7245052073608134,-0.7,0.0,1.0,493.0,755.0,1.0,0,22.0,1
123,123,0.15051743988918298,0.2,0.0,0.0,361.0,534.0,1.0,0,2105.0,0
124,124,-0.28569965794942975,-0.3,1.0,0.0,418.0,665.0,0.0,0,1917.0,1
125,125,-0.8233943864805463,-0.8,1.0,0.0,473.0,529.0,0.0,0,548.0,1
126,126,-0.7339673563191207,-0.7,0.0,1.0,324.0,609.0,1.0,0,157.0,1
127,127,0.7364128460698393,0.7,1.0,1.0,440.0,974.0,1.0,1,106.0,1
128,128,-0.4613631737793628,-0.5,0.0,1.0,404.0,656.0,1.0,0,210.0,1
129,129,0.1424402735589737,0.1,1.0,1.0,380.0,601.0,1.0,1,899.0,1
130,130,0.11134391081627293,0.1,0.0,0.0,341.0,520.0,0.0,1,379.0,1
131,131,0.6098072973979846,0.6,1.0,1.0,436.0,796.0,1.0,1,308.0,1
132,132,-0.5041559996714275,-0.5,1.0,0.0,403.0,797.0,0.0,0,1120.0,1
133,133,-0.536034996925571,-0.5,1.0,0.0,467.0,764.0,0.0,0,849.0,1
134,134,-0.20625560484295458,-0.2,1.0,0.0,301.0,908.0,0.0,0,841.0,1
135,135,0.07723988370999135,0.1,1.0,1.0,311.0,618.0,1.0,1,981.0,1
136,136,0.738524246196045,0.7,1.0,1.0,410.0,591.0,1.0,1,129.0,1
137,137,-0.06917792924737365,-0.1,1.0,0.0,457.0,812.0,1.0,1,1731.0,0
138,138,0.20267876967448972,0.2,0.0,0.0,499.0,964.0,1.0,0,-293.0,0
139,139,0.6661248779838232,0.7,0.0,0.0,476.0,816.0,0.0,1,188.0,1
140,140,-0.8556626346135944,-0.9,1.0,0.0,312.0,664.0,0.0,0,384.0,1
141,141,0.869063188145558,0.9,1.0,1.0,310.0,828.0,1.0,1,122.0,1
142,142,0.3079670672831806,0.3,0.0,0.0,455.0,511.0,0.0,1,404.0,1
143,143,0.648780475568078,0.6,0.0,0.0,479.0,702.0,0.0,1,109.0,1
144,144,-0.3693172173780641,-0.4,0.0,1.0,332.0,923.0,1.0,0,435.0,1
145,145,-0.8335287248223769,-0.8,0.0,1.0,415.0,896.0,1.0,0,99.0,1
146,146,-0.8978939748621778,-0.9,0.0,1.0,470.0,688.0,1.0,0,72.0,1
147,147,0.7527534522231826,0.8,1.0,1.0,422.0,567.0,1.0,1,81.0,1
148,148,0.6150696724643648,0.6,1.0,1.0,382.0,571.0,1.0,1,187.0,1
149,149,-0.09164716463156342,-0.1,0.0,1.0,323.0,721.0,1.0,0,706.0,1
150,150,-0.21881191848862114,-0.2,0.0,1.0,427.0,535.0,1.0,0,568.0,1
151,151,0.40199438971725765,0.4,0.0,0.0,351.0,701.0,0.0,1,1658.0,1
152,152,0.5168975936566723,0.5,0.0,0.0,275.0,710.0,0.0,1,325.0,1
153,153,-0.6671580932714731,-0.7,1.0,0.0,407.0,534.0,0.0,0,549.0,1
154,154,-0.5116406313123436,-0.5,1.0,0.0,447.0,986.0,0.0,0,1567.0,1
155,155,-0.6831399146436625,-0.7,0.0,1.0,384.0,565.0,1.0,0,171.0,1
156,156,-0.7519761590770601,-0.8,1.0,0.0,369.0,502.0,0.0,0,549.0,1
157,157,-0.024810876891052436,-0.0,0.0,1.0,402.0,803.0,1.0,0,1315.0,1
158,158,-0.6633843292340063,-0.7,0.0,1.0,325.0,884.0,1.0,0,-589.0,1
159,159,0.5035033997495658,0.5,1.0,1.0,376.0,601.0,1.0,1,373.0,1
160,160,-0.8793357659977026,-0.9,1.0,0.0,442.0,879.0,0.0,0,249.0,1
161,161,-0.6227406591243458,-0.6,0.0,1.0,307.0,771.0,1.0,0,212.0,1
162,162,0.2969090471998571,0.3,1.0,1.0,427.0,702.0,1.0,1,301.0,1
163,163,0.6798657564887728,0.7,0.0,0.0,396.0,914.0,0.0,1,190.0,1
164,164,-0.7102974622581294,-0.7,0.0,1.0,349.0,625.0,1.0,0,226.0,1
165,165,-0.8137021938146541,-0.8,0.0,1.0,325.0,605.0,1.0,0,440.0,1
166,166,0.539783798479485,0.5,1.0,1.0,307.0,984.0,1.0,1,-31.0,1
