,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.6750525157955146,-0.7,0.0,1.0,464.0,873.0,1.0,0,183.0,1
1,1,-0.3313672099967304,-0.3,0.0,1.0,487.0,732.0,1.0,0,281.0,1
2,2,-0.2828411077090861,-0.3,1.0,0.0,255.0,813.0,0.0,0,272.0,1
3,3,-0.4869550143043238,-0.5,0.0,1.0,250.0,757.0,1.0,0,213.0,1
4,4,-0.7336437615353868,-0.7,1.0,0.0,413.0,632.0,0.0,0,335.0,1
5,5,0.16635349952031697,0.2,0.0,0.0,349.0,802.0,0.0,1,1459.0,1
6,6,-0.559489336434805,-0.6,0.0,1.0,311.0,661.0,1.0,0,508.0,1
7,7,-0.8486725430142023,-0.8,0.0,1.0,351.0,910.0,1.0,0,289.0,1
8,8,-0.7823593488541932,-0.8,0.0,1.0,455.0,788.0,1.0,0,367.0,1
9,9,0.3824461327788645,0.4,1.0,1.0,275.0,672.0,1.0,1,523.0,1
10,10,0.5595541391378364,0.6,0.0,0.0,289.0,684.0,0.0,1,517.0,1
11,11,0.4384026878224695,0.4,0.0,0.0,255.0,586.0,0.0,1,319.0,1
12,12,-0.7216461542063249,-0.7,1.0,0.0,291.0,810.0,0.0,0,269.0,1
13,13,-0.7360257263418878,-0.7,1.0,0.0,434.0,825.0,0.0,0,381.0,1
14,14,0.3364560493740706,0.3,0.0,0.0,250.0,853.0,0.0,1,-393.0,1
15,15,-0.19428439877656722,-0.2,1.0,0.0,324.0,856.0,0.0,0,1660.0,1
16,16,-0.76915062120769,-0.8,0.0,1.0,366.0,775.0,1.0,0,129.0,1
17,17,-0.32155117848747927,-0.3,0.0,1.0,264.0,887.0,1.0,0,309.0,1
18,18,0.05892796465984074,0.1,0.0,0.0,461.0,666.0,1.0,0,1873.0,0
19,19,-0.2533371087581556,-0.3,0.0,1.0,445.0,550.0,1.0,0,1835.0,1
20,20,0.8943068812776064,0.9,0.0,0.0,367.0,811.0,0.0,1,292.0,1
21,21,-0.2629813267982213,-0.3,1.0,0.0,329.0,804.0,0.0,0,527.0,1
22,22,0.2465008320878509,0.2,1.0,1.0,351.0,878.0,1.0,1,581.0,1
23,23,-0.7958785580134157,-0.8,0.0,1.0,299.0,569.0,1.0,0,822.0,1
24,24,-0.20403908319111475,-0.2,1.0,0.0,333.0,719.0,0.0,0,468.0,1
25,25,-0.6405345468532545,-0.6,0.0,1.0,460.0,797.0,1.0,0,523.0,1
26,26,0.42263454378263166,0.4,1.0,1.0,268.0,990.0,1.0,1,802.0,1
27,27,0.8985613677540708,0.9,0.0,0.0,359.0,827.0,0.0,1,84.0,1
28,28,-0.5110581327246919,-0.5,0.0,1.0,254.0,825.0,1.0,0,1531.0,1
